dmnd_pf_id,hy,value
3,509.0,7547.771987773
3,510.0,8567.698888646
3,511.0,8856.359875577
3,512.0,8915.29449881
3,513.0,8986.807110927
3,514.0,8967.82597903
3,515.0,8780.521014778
3,516.0,8679.431699868
3,517.0,8582.996887056
3,518.0,8542.516627897
3,519.0,8657.553389196
3,520.0,9004.926706326
3,521.0,8884.597625131
3,522.0,8398.358297506
3,523.0,7855.77923518
3,524.0,7326.822673486
3,525.0,7172.591566171
3,526.0,6730.571687548
3,527.0,6320.672955703
3,528.0,6022.03437904
3,529.0,5897.086769456
3,530.0,5748.702964344
3,531.0,5889.660035775
3,532.0,6481.150527729
3,533.0,7515.053736038
3,534.0,8484.0663012
3,535.0,8880.26370256
3,536.0,8978.02246714
3,537.0,9081.839197938
3,538.0,9078.972724572
3,539.0,8910.527282449
3,540.0,8769.551230742
3,541.0,8657.777616631
3,542.0,8586.288917609
3,543.0,8639.705798185
3,544.0,8912.116958281
3,545.0,8782.818598416
3,546.0,8294.162728305
3,547.0,7745.919922282
3,548.0,7171.971455135
3,549.0,7122.134193426
3,550.0,6705.322772258
3,551.0,6393.910457864
3,552.0,6100.682776713
3,553.0,5880.460593986
3,554.0,5687.519304028
3,555.0,5703.807520404
3,556.0,5935.364699905
3,557.0,6205.093622317
3,558.0,6918.67960724
3,559.0,7396.74963057
3,560.0,7753.744289251
3,561.0,7940.860607884
3,562.0,8013.601529048
3,563.0,7823.130765351
3,564.0,7641.515401075
3,565.0,7457.140615389
3,566.0,7397.966419089
3,567.0,7530.040799703
3,568.0,7826.894159828
3,569.0,7701.9288522
3,570.0,7305.90529208
3,571.0,6961.009462624
3,572.0,6563.989681408
3,573.0,6625.094675929
3,574.0,6218.041026102
3,575.0,5913.697565312
3,576.0,5658.298041251
3,577.0,5517.534787701
3,578.0,5344.119682513
3,579.0,5303.373421701
3,580.0,5417.240759667
3,581.0,5495.121973327
3,582.0,5998.925643452
3,583.0,6408.38133843
3,584.0,6843.608284932
3,585.0,7110.290605644
3,586.0,7312.605856867
3,587.0,7049.583682063
3,588.0,6868.999027013
3,589.0,6672.262574148
3,590.0,6678.828122838
3,591.0,6807.054053377
3,592.0,7276.789398319
3,593.0,7510.773140144
3,594.0,7269.814088583
3,595.0,6936.844591271
3,596.0,6656.136117679
3,597.0,6771.950353835
3,598.0,6401.309748469
3,599.0,6130.651264648
3,600.0,5903.60083693
3,601.0,5858.359788252
3,602.0,5728.153611517
3,603.0,5933.619044946
3,604.0,6595.242901623
3,605.0,7662.007534366
3,606.0,8566.350977123
3,607.0,8852.844338811
3,608.0,8953.686082497
3,609.0,8955.85135594
3,610.0,8954.935383543
3,611.0,8748.028161426
3,612.0,8772.558318784
3,613.0,8646.394401239
3,614.0,8600.622279566
3,615.0,8657.22889738
3,616.0,9215.071191275
3,617.0,9232.406473246
3,618.0,8747.45740987
3,619.0,8180.466045277
3,620.0,7669.400979352
3,621.0,7530.800962279
3,622.0,7047.114004223
3,623.0,6674.673280168
3,624.0,6405.433079738
3,625.0,6220.554219778
3,626.0,6062.427604852
3,627.0,6202.685613726
3,628.0,6775.522284311
3,629.0,7768.984417237
3,630.0,8716.826413999
3,631.0,8969.335081218
3,632.0,9055.143664666
3,633.0,9155.533923302
3,634.0,9144.873188707
3,635.0,8917.797002291
3,636.0,8825.736933158
3,637.0,8730.759746162
3,638.0,8684.052528084
3,639.0,8783.461862161
3,640.0,9168.269877706
3,641.0,9110.205124531
3,642.0,8596.942224859
3,643.0,8010.613242742
3,644.0,7375.589339754
3,645.0,7267.25497285
3,646.0,6788.589313783
3,647.0,6413.191638368
3,648.0,6118.836062754
3,649.0,6008.728783119
3,650.0,5867.116279647
3,651.0,6018.392382117
3,652.0,6685.629781834
3,653.0,7711.657372982
3,654.0,8674.95996555
3,655.0,8870.333148779
3,656.0,8920.514997595
3,657.0,8966.541541043
3,658.0,8940.272589934
3,659.0,8737.04584002
3,660.0,8682.972120362
3,661.0,8627.26026749
3,662.0,8587.694476576
3,663.0,8733.505143328
3,664.0,9245.201796744
3,665.0,9254.48409038
3,666.0,8752.006277606
3,667.0,8194.899442068
3,668.0,7670.944417813
3,669.0,7517.935087826
3,670.0,7000.048552334
3,671.0,6652.498256762
3,672.0,6348.199787435
3,673.0,6190.856990114
3,674.0,6024.653277797
3,675.0,6140.638097185
3,676.0,6707.016169975
3,677.0,7713.569142339
3,678.0,8679.348218746
3,679.0,8971.655724293
3,680.0,9113.329870914
3,681.0,9192.602339731
3,682.0,9250.58350397
3,683.0,9028.723095008
3,684.0,8934.080127001
3,685.0,8764.633381156
3,686.0,8648.940452214
3,687.0,8742.589087836
3,688.0,9139.167507214
3,689.0,9087.056470516
3,690.0,8598.353934629
3,691.0,8036.400203725
3,692.0,7460.082376156
3,693.0,7308.846312832
3,694.0,6849.668162612
3,695.0,6486.985787659
3,696.0,6219.617820232
3,697.0,6059.804619777
3,698.0,5901.834327518
3,699.0,6061.530681428
3,700.0,6632.11149154
3,701.0,7588.539759627
3,702.0,8524.824562421
3,703.0,8917.069053397
3,704.0,9033.870317522
3,705.0,9219.313838853
3,706.0,9264.192597716
3,707.0,9026.55805005
3,708.0,8782.417979772
3,709.0,8678.318794396
3,710.0,8519.078173381
3,711.0,8629.67778771
3,712.0,9073.159556059
3,713.0,8868.226041674
3,714.0,8377.240068287
3,715.0,7821.585580636
3,716.0,7243.652194697
3,717.0,7256.61385233
3,718.0,6851.60384497
3,719.0,6510.254124867
3,720.0,6199.431318467
3,721.0,5970.730567006
3,722.0,5727.174141121
3,723.0,5724.649428777
3,724.0,5931.129750961
3,725.0,6206.642240985
3,726.0,6811.078526366
3,727.0,7243.830585654
3,728.0,7507.20695164
3,729.0,7614.698553675
3,730.0,7587.376987132
3,731.0,7372.496655607
3,732.0,7172.026629006
3,733.0,7037.249858845
3,734.0,7020.427070222
3,735.0,7071.504106195
3,736.0,7683.616057003
3,737.0,7768.777412526
3,738.0,7392.449078371
3,739.0,6971.227559064
